representatives
"Rep. Veasey, Marc A. [D-TX-33]*"
"Rep. Pressley, Ayanna [D-MA-7]*"
"Rep. Crow, Jason [D-CO-6]*"
"Rep. Leger Fernandez, Teresa [D-NM-3]*"
"Rep. Chu, Judy [D-CA-27]*"
"Rep. Deutch, Theodore E. [D-FL-22]*"
"Rep. Schrier, Kim [D-WA-8]*"
"Rep. Tlaib, Rashida [D-MI-13]*"
"Rep. Scott, David [D-GA-13]*"
"Rep. Aguilar, Pete [D-CA-31]*"
"Rep. Velazquez, Nydia M. [D-NY-7]*"
"Rep. Eshoo, Anna G. [D-CA-18]*"
"Rep. Trone, David J. [D-MD-6]*"
"Rep. Cartwright, Matt [D-PA-8]*"
"Rep. Kim, Andy [D-NJ-3]*"
"Rep. Harder, Josh [D-CA-10]*"
"Rep. Torres, Ritchie [D-NY-15]*"
"Rep. Stanton, Greg [D-AZ-9]*"
"Rep. Schneider, Bradley Scott [D-IL-10]*"
"Rep. Quigley, Mike [D-IL-5]*"
"Rep. Pappas, Chris [D-NH-1]*"
"Rep. Frankel, Lois [D-FL-21]*"
"Rep. Fitzpatrick, Brian K. [R-PA-1]*"
"Rep. Manning, Kathy E. [D-NC-6]*"
"Rep. McNerney, Jerry [D-CA-9]*"
"Rep. Payne, Donald M., Jr. [D-NJ-10]*"
"Rep. Torres, Norma J. [D-CA-35]*"
"Rep. Brown, Anthony G. [D-MD-4]*"
"Rep. Jeffries, Hakeem S. [D-NY-8]*"
"Rep. Sewell, Terri A. [D-AL-7]*"
"Rep. Ruppersberger, C. A. Dutch [D-MD-2]*"
"Rep. Nadler, Jerrold [D-NY-10]*"
"Rep. Levin, Mike [D-CA-49]*"
"Rep. Larsen, Rick [D-WA-2]*"
"Rep. Meeks, Gregory W. [D-NY-5]*"
"Rep. Doggett, Lloyd [D-TX-35]*"
"Rep. Hoyer, Steny H. [D-MD-5]*"
"Rep. Kind, Ron [D-WI-3]*"
"Rep. Vela, Filemon [D-TX-34]*"
"Rep. Kilmer, Derek [D-WA-6]*"
"Rep. Gottheimer, Josh [D-NJ-5]*"
"Rep. Jacobs, Sara [D-CA-53]*"
"Rep. Lieu, Ted [D-CA-33]*"
"Rep. Beyer, Donald S., Jr. [D-VA-8]*"
"Rep. Costa, Jim [D-CA-16]*"
"Rep. Ross, Deborah K. [D-NC-2]*"
"Rep. Kuster, Ann M. [D-NH-2]*"
"Del. N, Michael F. Q. [D-GU-At Large]"
"Rep. Lofgren, Zoe [D-CA-19]"
"Rep. Strickland, Marilyn [D-WA-10]"
"Rep. DelBene, Suzan K. [D-WA-1]"
"Rep. Spanberger, Abigail Davis [D-VA-7]"
"Rep. Houlahan, Chrissy [D-PA-6]"
"Rep. Himes, James A. [D-CT-4]"
"Rep. Wexton, Jennifer [D-VA-10]"
"Rep. Neal, Richard E. [D-MA-1]"
"Rep. Van Drew, Jefferson [R-NJ-2]"
"Rep. Mfume, Kweisi [D-MD-7]"
"Rep. Davids, Sharice [D-KS-3]"
"Rep. Butterfield, G. K. [D-NC-1]"
"Rep. Waters, Maxine [D-CA-43]"
"Rep. Bourdeaux, Carolyn [D-GA-7]"
"Rep. Rice, Kathleen M. [D-NY-4]"
"Rep. Clyburn, James E. [D-SC-6]"
"Rep. Case, Ed [D-HI-1]"
